dmrec,file,identifier,title,description,local_collection_name,local_collection_id,photographer,date,subject,location,resource_type,format,rights_statement,license,rights_holder,parents,institution,model,has_finding_aid,visibility,repository,full_size_download_allowed
,PHP395_UP_SOC_20240815_27.tif,PHP395_UP_SOC_20240815_27,"Lauren Kenny, 2024","Color photo of University of Oregon soccer player  Lauren Kenny (#18) keeping the ball in play as she heads up the field during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/KennyLauren|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_28.tif,PHP395_UP_SOC_20240815_28,"Lauren Kenny, 2024","Color photo of University of Oregon soccer player  Lauren Kenny (#18) keeping the ball in play as she heads up the field during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/KennyLauren|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_29.tif,PHP395_UP_SOC_20240815_29,"Haley McWhirter, 2024","Color photo of University of Oregon soccer player Haley McWhirter (#12) taking a shot on goal during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/McWhirterHaley|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_30.tif,PHP395_UP_SOC_20240815_30,"Trinity Morales, 2024","Color photo of University of Oregon soccer player Trinity Morales (#7) with the ball during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/MoralesTrinity|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_31.tif,PHP395_UP_SOC_20240815_31,"Goal, 2024","Color photo of University of Oregon soccer players celebrating a goal by Taylor Bryan (#5) during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/BryanTaylor|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_32.tif,PHP395_UP_SOC_20240815_32,"Taylor Bryan, 2024","Color photo of University of Oregon soccer player Taylor Bryan (#5) celebrating her goal with teammates Trinity Morales (#7, left) and Mako Nezu (#8) during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/BryanTaylor|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_33.tif,PHP395_UP_SOC_20240815_33,"Taylor Person, 2024","Color photo of University of Oregon soccer player Taylor Person (#10) passing the ball during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/PersonTaylor|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_34.tif,PHP395_UP_SOC_20240815_34,"Livvy Moore, 2024","Color photo of University of Oregon soccer player Livvy Moore (#4) kicking the ball up the field during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/MooreLivvy|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_35.tif,PHP395_UP_SOC_20240815_35,"Livvy Moore, 2024","Color photo of University of Oregon soccer player Livvy Moore (#4) approaching the ball to kick it up the field during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/MooreLivvy|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_36.tif,PHP395_UP_SOC_20240815_36,"Taylor Person, 2024","Color photo of University of Oregon soccer player Taylor Person (#10) racing an opponent for the ball during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/PersonTaylor|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
,PHP395_UP_SOC_20240815_37.tif,PHP395_UP_SOC_20240815_37,"Taylor Bryan, 2024","Color photo of University of Oregon soccer player Taylor Bryan (#5) going to the turf after the keeper kicked the ball off her and out of play during a game against Seattle on August 15, 2024 at Papé Field. The Ducks won the game 1-0.",http://opaquenamespace.org/ns/localCollectionName/UniversityPhotosPaulHarveyIV,PH395 UP,http://opaquenamespace.org/ns/creator/HarveyPaulWIV,2024-08-15,http://opaquenamespace.org/ns/people/BryanTaylor|http://id.loc.gov/authorities/subjects/sh97009161,https://sws.geonames.org/9166219/,http://purl.org/dc/dcmitype/Image,https://w3id.org/spar/mediatype/image/tiff,http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nd/4.0/,"Harvey, Paul W., IV",uo-athletics,http://id.loc.gov/authorities/names/n80126183 ,Image,https://scua.uoregon.edu/repositories/2/resources/9512,open,http://id.loc.gov/authorities/names/no2003116678,0
